player_id,thumb_url,name,player_url,jersey,position_group,bat_throw,height,weight,dob,status,is_minors,is_il,is_active_roster,is_40_man,slug
676879,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/676879/headshot/silo/current,Aaron Ashby,/player/676879,26,Pitchers,R/L,"6' 0""",194,05/24/1998,ACTIVE,False,False,True,True,aaron-ashby
675660,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/675660/headshot/silo/current,Shane Drohan,/player/675660,55,Pitchers,L/L,"6' 2""",202,01/07/1999,ACTIVE,False,False,True,True,shane-drohan
688107,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/688107/headshot/silo/current,Robert Gasser,/player/688107,54,Pitchers,L/L,"6' 0""",197,05/31/1999,ACTIVE,False,False,True,True,robert-gasser
669084,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669084/headshot/silo/current,DL Hall,/player/669084,37,Pitchers,L/L,"6' 1""",209,09/19/1998,ACTIVE,False,False,True,True,dl-hall
690986,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/690986/headshot/silo/current,Kyle Harrison,/player/690986,52,Pitchers,R/L,"6' 2""",216,08/12/2001,ACTIVE,False,False,True,True,kyle-harrison
701656,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/701656/headshot/silo/current,Logan Henderson,/player/701656,43,Pitchers,R/R,"6' 0""",209,03/02/2002,ACTIVE,False,False,True,True,logan-henderson
669160,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669160/headshot/silo/current,Dustin May,/player/669160,21,Pitchers,R/R,"6' 6""",180,09/06/1997,ACTIVE,False,False,True,True,dustin-may
656730,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/656730/headshot/silo/current,Trevor Megill,/player/656730,29,Pitchers,L/R,"6' 8""",253,12/05/1993,ACTIVE,False,False,True,True,trevor-megill
694819,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/694819/headshot/silo/current,Jacob Misiorowski,/player/694819,32,Pitchers,R/R,"6' 7""",201,04/03/2002,ACTIVE,False,False,True,True,jacob-misiorowski
694477,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/694477/headshot/silo/current,Chad Patrick,/player/694477,39,Pitchers,R/R,"6' 1""",217,08/14/1998,ACTIVE,False,False,True,True,chad-patrick
680689,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/680689/headshot/silo/current,Lyon Richardson,/player/680689,48,Pitchers,S/R,"6' 2""",207,01/18/2000,ACTIVE,False,False,True,True,lyon-richardson
622608,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/622608/headshot/silo/current,Antonio Senzatela,/player/622608,49,Pitchers,R/R,"6' 1""",235,01/21/1995,ACTIVE,False,False,True,True,antonio-senzatela
682842,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/682842/headshot/silo/current,Abner Uribe,/player/682842,45,Pitchers,R/R,"6' 3""",205,06/20/2000,ACTIVE,False,False,True,True,abner-uribe
661388,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/661388/headshot/silo/current,William Contreras,/player/661388,24,Catchers,R/R,"5' 10""",217,12/24/1997,ACTIVE,False,False,True,True,william-contreras
